"","project_id","title","description","GEO_sources","level","X","Y","name","name_type","GID","country"
"77",70861,"China provides office equipment to support the post-war reconstruction of Afghanistan government","On November 14, 2016，Chinese government held the handover ceremony of the office equipment project to assist to the Afghanistan government.

Chinese government pledged to support Afghanistan's post-war reconstruction firmly and hoped that these office equipment can effectively help Afghanistan improve office working conditions and capacity of office buildings. These equipment were worth 200 million yuan.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"78",53970,"China Grants 8.5 million USD of Agricultural Equipment to Afghanistan's Ministry of Agriculture","On August 25th, 2015, Chinese Ambassador Deng Xijun granted 300 tractors and agricultural equipment worth 8.5 million USD to Assadullah Zamir, Minister of Agriculture, Irrigation, and Livestock, in a handover ceremony. China additionally sent 10 experts to teach Afghani how to use the machinery with the goal of improving productivity, through the mechanization of agriculture, to reach self-sufficiency. On November 8th, 2016, Afghanistan's High Economic Council decided to distribute the machinery to private seed companies, agricultural cooperatives, and mechanized agricultural stations. Distribution depends on each company's debt status and accordance to legislative standards. As of Jan 4th, 2018, all machinery has been handed over to Afghanistan as of August 2015, but it is unclear whether the machinery has been distributed internally within Afghanistan. STAFF_NOTE: Initial article indicated that these tractors may be related to International NGO ChinaAid, but further research suggested that the agricultural equipment originated from the Chinese government.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"79",34533,"China makes $500,000 contribution to Afghan presidential elections","In 2009, China donated $500,000 for presidential elections in Afghanistan. This donation was the result of an agreement because China's and Afghanistan's foreign ministers.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"80",34515,"Donation of US$1.4 million in equipment and vehicles (linked to #34500)","In June, 2004 China donated police communications equipment as well as off-road vehicles to Afghanistan's transitional government. This included an alarm system, computer LAN, wireless systems and a digital programmable dispatching system as well as 22 Cherokees made by Beijing Jeep Corporation. The value of this donation is US$1.4 million. This is the second donation of goods made by China to the Afghan government to promote bilateral ties. The first was in 2002 when China donated military uniforms, boots and coats to the Afghan police and army (See Project ID#34500)","https://global.factiva.com/ga/default.aspx","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"81",56574,"China Grants 23.028 million AFA to Afghan Ministry of Foreign Affairs (linked to #53879)","On December 22, 2015, China provided 23.028 million AFA to the Afghan Ministry of Foreign Affairs. From November 20, 2008, to December 21, 2019, China provides 858,140,268 Afghanistan Afghani (approx. 16.4 million USD) aids to Afghan Ministry of Foreign Affairs. The contribution was delivered over multiple years. About 97 million AFA (1.5 million USD) was spent. The funds were given in a grant used for acquisition of assets and the use of goods and services (#53879). DAD Platform Refer Project Code: AFG/230069; Old Project Code: AFG/0866901","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"82",56587,"China Grants 34.14 million AFA to Afghan Ministry of Foreign Affairs (linked to #53879)","On November 5, 2017, China provided 34.14 million AFA to the Afghan Ministry of Foreign Affairs. From November 20, 2008, to December 21, 2019, China provides 858,140,268 Afghanistan Afghani (approx. 16.4 million USD) aids to Afghan Ministry of Foreign Affairs. The contribution was delivered over multiple years. About 97 million AFA (1.5 million USD) was spent. The funds were given in a grant used for acquisition of assets and the use of goods and services (#53879). DAD Platform Refer Project Code: AFG/230069; Old Project Code: AFG/0866901","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"83",53817,"China provides 10 million yuan in material aid to Afghanistan earthquake relief","In October 2015 in response to an earthquake, China provided 10 million Chinese yuan in emergency material aid to Afghanistan and announced that Vice Chairman Li Yuanchao would provide an additional 1 million USD in cash assistance. The material aid was delivered to Afghanistan in November 3, 2015. The earthquake relief materials include 300 tents, 20,000 blankets and 60 generators. STAFF_NOTE: This project records just the 10 million RMB.","http://af.mofcom.gov.cn/article/jmxw/201511/20151101154504.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"84",53641,"China agreed to provide additional annual 50 national scholarships to Afghanistan","During Afghanistan Chief Executive Abdullah Abdullah's visit in China between May 15-18, 2016, China agrees to provide an additional 50 national scholarships to Afghanistan annually for 5 years. The scholarships are for Afghan students to study in China. In 2014, China agreed on providing 500 national scholarships to Afghanistan (See project #37861 for details).","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"85",34524,"China donates $200,000 to Afghan refugees (linked to #34523)","On 31 August 2007, Chinese Ambassador to Afghanistan Yang Houlan handed over US$200 000 in cash aid to Afghan acting refugee minister Abdul Qader Ahadi to help poverty-stricken Afghan refugees. The aid would cover infrastructure, education, health and so on. This is part of an aid package worth US$1.5 million; another part of the package was a donation of US$1.3 million in goods (See Project ID#34523).","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"86",37883,"Donation of US$1.79 million in dredging equipment","China donated about $1.79 million in dredging equipment to Afghanistan in March 2009. No other details are found. 

From China ECCO in Afghanistan:

2009年3月，中方向阿捐赠价值178.75万美元的清淤设备。","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"87",34643,"China to provide 4.3 million RMB to Afghanistan Ministry of Interior","On 23 September 2012, China and Afghanistan signed 3 agreements; one of them is the the 'agreement for assistance for completion of police equipment between Afghanistan and China' and it was signed between Deputy Minister of Interior Affairs and Deputy Minister of Public Security of China. Based on the report by Bakhtar News Agency, the assistance may be worth 4.3 million Chinese Yuan.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"88",34583,"China donates $1 million to Afghanistan Ministry of Public Health","In 2010, an agreement was signed by Afghanistan's Minister of Public Health and the Chinese Ambassador to Kabul. This agreement outlined a contract was worth US$1 million and would be used to equip the Afghan Ministry of Public Health with the tools to control influenza in Afghanistan. STAFF_NOTE: This project may be related to #53881.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"89",34523,"China donates $1.3m in goods to Afghan refugees (Linked to #34524)","On 31 August 2007, Chinese Ambassador to Afghanistan Yang Houlan and Afghan acting refugee minister Abdul Qader Ahadi signed an agreement under which China would donate US$1.3 million in goods to Afghanistan for poverty alleviation for refugees. The aid would cover infrastructure, education, health and so on. This is part of an aid package worth US$1.5 million; another part of the package was a US$200 000 cash aid (See Project ID#34524).","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"90",54071,"China to train 200 Afghan professionals","In 2006, China announced to support Afghanistan's national reconstruction. The Chinese side will train 200 Afghan professionals in 2007 and 2008. A press release from a Chinese embassy in 2008 reported that China will continue to train Afghanistan professionals in various fields, but it is likely that China fulfilled its pledge to train 200 professionals. STAFF_NOTE: Unsure if a government agency was involved with providing training. Removed the scholarship section of this project because it would've been a duplicate of #53721.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"91",34530,"China provides 50 million RMB in aid for reconstruction efforts","On 30 December 2008, Chinese Ambassador to Afghanistan Yang Houlan and Afghan Foreign Minister Rangin Dafar Spanta signed an agreement under which China would provide 50 million Chinese Yuan to Afghanistan for consultative projects between the two countries. Details regarding which project would benefit from the grant are yet to be found. Chinese ECCO website stated that Chinese foreign minister Yang Jiechi announced at a international donors' conference for Afghanistan in Paris in June 2008 that China will be providing the 50 million Chinese yuan to Afghanistan to support reconstruction efforts.","","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"92",53538,"China signs Economic and Technical Cooperation Agreement granting $30 million USD to Afghanistan","On May 15, 2002, Chinese Minister of Foreign Affair Tang Jiaxuan signed an Economic and Technical Cooperation Agreement (ETCA) granting $30 million USD to Afghanistan. The purpose of this grant is to immediately and actively implement the commitments made by China to the reconstruction of Afghanistan. While the signing date is similar to the handover date of #53537 and they are both intended for reconstruction, they are distinct projects because they were signed at different times and have differing transaction amounts.","https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/yzs_663350/gjlb_663354/2676_663356/2678_663360/t15832.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"93",34679,"China to train 300 Afghan police officers","On 23 September 2012 China signed an agreement to provide training to 300 Afghan police officers over the next four years; the officers will be in China for training. As of 2013, 45 Afghan police officers were receiving training in China on fighting drugs and riots. This number was expected to increase to 250 by 2015. The financial value and current status of this project are unknown.","https://www.bbc.com/news/world-asia-china-19693005","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"94",37849,"China disburses 500 Million RMB in grant assistance to Afghanistan (linked to #54451)","On October 28, 2014, Chinese President Xi Jinping and Afghanistan President Ashraf Ghani Ahmadzai signed the 'Agreement on Economic and Technical Cooperation between the Government of the People's Republic of China and the Government of Islamic Republic of Afghanistan' under which China would provide 500 million Chinese Yuan in grant assistance to the Afghan government in 2014 and another 1.5 billion Chinese Yuan in grant over three years from 2015 to 2017. The total amount of grant that was offered under the agreement was 2 billion Chinese Yuan. The grant is to be used to defend against Islamist militants along the border of Afghanistan and China. China will also train 3,000 Afghan professionals over the following 5 years. On 5 April 2015, Ambassador of Republic of China to Kabul, Mr. Deng Xijun, during his talks with Minister of Foreign Affairs, Mr. Salahuddin Rabbani, said that China would send a team to Afghanistan to draw up the framework for the disbursement of the 2 billion Chinese Yuan. Based on a 'Q&A' session with Professor and Director of Center for Russia and Central Asia Studies, Zhao Huasheng, China had provided the 500 million Chinese Yuan in 2014 and the 1.5 billion yuan is still in the pipeline. This project records the 500 million yuan disbursed in 2014.","http://af2.mofcom.gov.cn/article/bilateralvisits/201503/20150300918885.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"95",37850,"China provides $1 million in cash assistance to Afghanistan government budget (Linked to Project ID#34498, #53537)","On 27 May 2003, Chinese Vice President Zeng Qinghong and Afghan Vice President Nimartullah Shaharani signed an agreement, under which China would provide $1 million in cash to Afghanistan. The report published by China Ministry of Foreign Affairs and Chinese media articles reported that the US$1 million was to support Afghanistan's national budget. The agreement was first signed together with #53537, in 2002 January, where 30 million Chinese Yuan aid package was delivered to Afghanistan. STAFF_NOTE: This project is part of umbrella project #34498. The transaction amount is accounted for here and is taken out of the umbrella project amount.","http://af2.mofcom.gov.cn/article/bilateralvisits/200411/20041100003858.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"96",53882,"China provides Afghanistan 13 million Yuan for emergency assistance and uniforms","In 2002, China provides 13 million Chinese Yuan (equivalent to 4 million USD) to Afghanistan for emergency assistance as well as other aids. The fund was delivered in March 2002. The fund was used deliver medical supplies, stationary (80,000 pieces) and uniforms for the army (50,000 pieces) and police (20,000 pieces), 30 computers to Ministry of Foreign Affairs. Part of the medicine was utilized in the north during the crises of Nahreen Earthquake. The fund is fully disbursed and used by 2006. DAD platform referral code: DAD/000357. STAFF_NOTE: This Project is not affiliated to #34498 because the transaction amounts and currency are separate.","Coded from project description","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"97",34629,"Chinese Government provides $4 million grant for 100 ambulances","In 2011, two agreements were signed for the donation of 100 ambulances by the Chinese government to Afghanistan's Ministry of Public Health. The first agreement, which was for the first 50 batch of ambulance, was signed on 17 October 2011 by Dr. Soraya Dalil, Acting Minister of Public Health and Hogen Chen, Trade and Economic Counselor of Chinese Embassy in Kabul. The second agreement for the second batch of ambulance was signed on 14 December 2011 by Wu Gangchen, the Commercial counselor of China embassy in Afghan and Abdul Baser Sarwar, Deputy Minister of Public Health of Afghanistan. The ambulances are worth 4 million USD and were delivered to Afghanistan by China Tianjin Universal Machinery Import and Export Corporation(UMAC). Delivery of the ambulance began in 2011. Afghan Public Health Ministry released a statement regarding the donation on 20 September 2012, suggesting that the 100 ambulance had been delivered. These ambulances were to be distributed to health facilities in various provinces throughout Afghanistan.","http://af.china-embassy.org/chn/zagx/sbwl/t972618.htm","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"98",53721,"China agrees to provide 30 annual national scholarships to Afghans (Linked to #37861, #53703, #53641)","In 2006, China stated in the Joint Statement with Afghanistan that it will provide 30 annual scholarships for year-long training in China to Afghans. The details of the implementation of the scholarships are unclear. In 2014, China agreed on providing 500 national scholarships to Afghanistan (See project #37861 for details), an additional 50 annually in 2011 (#53703) and an additional 50 in 2016 (#53641).","http://af.china-embassy.org/chn/zagx/wxzl/t852277.htm","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"99",53812,"China provides 1 million USD material aid to Afghanistan","On October 5, 2004, Economic and Commercial Office of the Embassy of People’s Republic of China in the Islamic Republic of Afghanistan granted office equipment, cultural and athletic equipment (around USD 1 million) to Afghanistan. The grant includes 400 computers, 300 printers, 70 copiers, televisions, bicycles, footballs, basketballs, and some Sports apparels, etc. The delivery ceremony is held in Afghanistan Ministry of Foreign Affairs.

Chinese government provided the above-mentioned suppliers to departments of Afghanistan under with the provisions signed by China and Afghanistan in October and November last year. All goods have been transported to the capital of Afghanistan, Kabul. 

This project is different from project #34514 since the delivery date and grant contents is different.","http://af.mofcom.gov.cn/article/jmxw/200411/20041100303076.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"100",53818,"China provides 35,000 blankets and 5,000 tents worth 30 million yuan to Pakistan refugees in Afghanistan","On December 12, 2015, Mr. Yao Jing, Ambassador of the People's Republic of China to the Islamic Republic of Afghanistan and H.E. Eng. Nasir Ahmad Durrani, the Minister of Rural Rehabilitation and Development of the Islamic Republic of Afghanistan signed taking-over certificate of China’s humanitarian relief materials. The humanitarian relief materials include: 5000 tents and 35000 blankets worth 30 million Chinese yuan. 

The materials will be distributed by the MRRD on vulnerable families. The aid is to help resettle Pakistan refugees in Afghanistan.","http://af.mofcom.gov.cn/article/jmxw/201512/20151201209104.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"101",53537,"China grants emergency aid worth 30 million RMB to support interim regime in Afghanistan (Linked to #37850, #34501, #34498)","In January 2002, Chinese President Jiang Zemin, Prime Minister Zhu Rongji signed an agreement to provide Afghanistan emergency aid package worth 30 million Chinese Yuan during the visit of Afghan interim leader Hamid Karzai. The aid package includes medicine, medical equipment, stationery, and sports products is for support of the temporary government. In March 2002, Northern Afghanistan was hit by Hindu Kush earthquakes, so part of the aid was also used for rehabilitation. The handover ceremony was held on March 26, 2002. The agreement was signed together with #37850, another assistance of 1 million USD in cash. For other 2002 earthquake response fund that China provided for Afghanistan, see #34501 for details. This project is part of a package of 2002-2005 China assistance to Afghanistan of 150 million USD reconstruction plan (#34498).","http://news.sina.com.cn/c/2002-05-22/0616582394.html","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"102",34506,"China donates meteorological equipment to Afghanistan","In 2003, China donated meteorological equipment to Afghanistan to improve its weather forecasting ability for better airport functioning. The donation included thermometers, psychrometers and hydrographs. The details for this donation were agreed on and committed to by Afghanistan's Civil Aviation Minister and the Chinese Ambassador to Afghanistan on 22 February 2003. This project marked the first time any country has given meteorological support for Afghanistan's aviation industry.","http://en.people.cn/200302/23/eng20030223_112099.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"103",34521,"China donates $2m in non-military items to the Afghanistan National Army","On 11 January 2007, the Chinese government donated non-military items to the Afghanistan National Army. The value of this aid is US$2 million, and included 10 trucks, 12 Jeeps, 17 cars, 100 computers, 30 photocopy machines, 100 printers, 100 air conditioners, 140 TV sets, refrigerators, a diesel generator, shoes, tents, axes and shovels and electric fans.","http://af.mofcom.gov.cn/article/jmxw/200701/20070104275457.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"104",53539,"China grants 1 million USD material aid to Afghanistan","In November 2002, China signed an agreement to donate 1 million USD material aid to Afghanistan during Afghanistan Minister of Foreign Minister Abdullah's visit in China. The exact use of the materials is unclear. STAFF_NOTE: This is not a duplicate project for #37850 since the commitment years are different. It is neither a duplicate for #53812 because this projects reports 1 million worth of material aids and #53812 reports 1 million cash. CRS code is emergency response as it is grouped with efforts towards reconstruction in the sources.","Source links did not work","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"105",34665,"China provides 200 million RMB grant to Afghanistan","On 27 September 2013, Dr. Rangeen Dadfar Spanta, Advisor of Afghan National Security Affairs and the Chinese Commerce Minister signed an agreement, named the Government of People's Republic of China and the Government of the Islamic Republic of Afghanistan Economic and Technical Cooperation Agreement, under which China would provide 200 million RMB (about 32 million USD) in grant to Afghanistan. The grant will be used based on consultations between the two countries in various projects and on projects that the Afghan government has prioritized. The exchange of letters for this agreement was signed previously in April 2013. The signing of the agreement was witnessed by President Hamid Karzai and Chinese President Xi Jinping. The agreement to provide the grant is one out of three documents signed on that day; another document that was signed was the MOU between Shaanxi Normal University and Kabul University (see Project ID #34671).","http://af.mofcom.gov.cn/article/zxhz/201501/20150100879514.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"106",37861,"China will provide 500 scholarships over 5 years to Afghans to study in China","In a Joint Statement on Deepening Strategic and Cooperative Partnership between China and Afghanistan on 28 October 2014, China has agreed to provide 500 government-sponsored scholarships over the next five years to encourage more Afghan youths to study in China. China reaffirmed its pledge to provide the scholarship at the Foreign Ministerial Conference of the Istanbul Process on Afghanistan in November 2014. 

This is not the first time China has provided scholarship to Afghan students. During an interview with Ambassador Deng Xijun on 21 October 2013, the Ambassador mentioned that China had provided scholarship to ""hundreds of Afghan students"". On 27 September 2013, an MOU was signed under which China would provide scholarship to Afghan students from Kabul university (See Project ID#34671).

STAFF_NOTE: Project reactivated as no reason is given to deactivate + this is a project + no duplicate found. 

STAFF_NOTE: Details on the status of the project are yet to be found.
From China ECCO in Afghanistan:

四、双方同意，中阿两国将以2015年中阿建交60周年作为“中阿友好合作年”，以此为契机，举行一系列纪念活动。双方同意在文化、教育、青年、妇女、公民社会、媒体等领域加强交流与合作，进一步增进两国人民之间的了解和友谊。中方将邀请阿方派团来华出席第十四届亚洲艺术节。中方将继续鼓励和支持阿学生来华学习，未来五年将通过各种渠道向阿方提供500个中国政府奖学金名额。中方将支持在阿开展汉语教学。中方将推动两国媒体加强互动，支持阿方促进妇女权利和赋权妇女的努力，为阿富汗妇女儿童提供力所能及的帮助。双方同意互免持外交护照人员签证，并采取进一步措施便利两国人员往来。","http://af.mofcom.gov.cn/article/tbbd/201501/20150100856996.shtml","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"107",34497,"China grants relief goods worth 1 million RMB to UNHCR for Afghanistan","In mid-September 2001, the Chinese government donated relief materials worth 1 million RMB to the United Nations High Commissioner for Refugees (UNHCR) for Afghanistan. According to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking System (flow ID #5632), at least some of these materials were used in the UNHCR's contingency plan. Chinese sources indicate this aid package was successfully delivered.","https://reliefweb.int/report/afghanistan/aid-afghanistan-and-sw-asia-update-no-1","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"108",53881,"Chinese Government provides $1.3 million in grant funding to support Afghanistan’s efforts to combat the H1N1 virus","From September 23, 2010, to December 20, 2017, China provided 1,327,333 USD to Afghanistan to support fighting against the H1N1 virus. The fund was distributed to Afghanistan Ministry of Public Health. It is used to provide good and services, as well as the acquisition of assets. The yearly contribution is shown below: March, 22, 2013: 704,713 USD October 13, 2014: 295,287 USD October 8, 2015: 295,287 USD September 24, 2016: 32,046 USD STAFF_NOTE: The disbursements from 2010-2012 and 2017 are unknown. DAD platform referral code: AFG/370623; Old referral code: AFG/0011504. This project is possibly a part of #34583, a $1 million grant for influenza in 2010.","https://reliefweb.int/report/afghanistan/afghanistan-china-dedicate-1million-moph","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
"109",73850,"China donates emergency food aid worth 50 million RMB to Afghanistan","On 29 October 2017, the Chinese government officially handed over the first batch of food aid to Afghanistan following political unrest and a series of natural disasters. This batch includes 4,242 tons of rice with a total value of 50 million RMB. The shipment of the first 502 tons of rice arrived in Kabul on 26 October and the remainder is scheduled to arrive before March 2018. AidData failed to find evidence of a signed financing agreement so the commitment year is unclear.","https://www.wfp.org/news/contribution-china-boost-wfp-emergency-food-assistance-vulnerable-afghans","ADM0",NA,NA,"Afghanistan","Country","AFG","Afghanistan"
